,A,C,D,M,N,O,P,R,V,W,END
START,0.9946782776971457,0.9985691987513007,0.9991550161315103,0.7317073170731707,0.9991425676202355,0.998473706119051,0.9973633748801534,0.995782208588957,0.9905902480752781,0.9967817437097718,0.08333333333333333
A,0.9979504378610025,0.9982614193140509,0.9556451612903226,0.7555555555555555,0.9997796606774433,0.9981589958158996,0.8952380952380953,0.9949931725079654,0.9837758112094396,0.8641975308641975,0.9424083769633508
C,0.9992002326595899,0.9971211724679403,0.9997084625374361,0.9629629629629629,0.999742237844171,0.9991385386482888,0.9986898523106241,0.9968687731283803,0.9985445885154803,0.9890873015873016,0.8777777777777778
D,0.999458474868311,0.9877641824249166,0.9747126436781609,0.9430051813471503,0.9998103971318257,0.9970853206147324,0.9017857142857143,0.9916540212443096,0.9955156950672646,0.21428571428571427,0.9755011135857461
M,0.3888888888888889,0.7380952380952381,0.8,0.21428571428571427,0.6451612903225806,0.9172932330827067,0.8382352941176471,0.9939759036144579,0.9986870374791119,0.08333333333333333,0.35294117647058826
N,0.9968171296296297,0.9998386765611709,0.9405405405405406,0.9979890310786106,0.9998622106423489,0.9998585154411103,0.9988341282458929,0.999271523178808,0.9997317988979373,0.9824,0.9982998454404945
O,0.9979023646071701,0.9993233683951529,0.9988193624557261,0.9879912663755459,0.9996289049321908,0.9996389180672269,0.9978570037015391,0.9981836195508587,0.9991543665436654,0.9968669894616918,0.9997573832682679
P,0.9976460517868607,0.9879649890590809,0.21428571428571427,0.9952006980802792,0.9990999099909991,0.9944834503510531,0.3888888888888889,0.9926813040585496,0.9991154712126086,0.6944444444444444,0.9788053949903661
R,0.9980585951288387,0.9979978157990536,0.9977573904179409,0.9705882352941176,0.9968041836141778,0.9989781699953553,0.9879385964912281,0.9974013701866289,0.9995582329317269,0.9549180327868853,0.8552631578947368
V,0.9989324534161491,0.9994968208224693,0.9994874900992405,0.9026548672566371,0.9993900072090057,0.999208803855283,0.9985712430185738,0.9995035653037277,0.9993650060613057,0.9840348330914369,0.9414893617021277
W,0.96,0.9105691056910569,0.9818181818181818,0.9868891537544696,0.9874429223744292,0.9294871794871795,0.980701754385965,0.9779559118236473,0.9977164210089268,0.21428571428571427,0.9874715261958997
